syntax,when_used,category,examples,who_says
[aircraft location] REQUEST START UP,To request permission to start engines.,"Aerodrome and Vicinity, Aircraft","LGL123 stand one four, request start up.",The Pilot
"[aircraft location] REQUEST START UP, INFORMATION (ATIS identification).",To request permission to start engines.,"Aerodrome and Vicinity, Aircraft","LGL123 stand one four, request start up, information Bravo.",The Pilot
[aircraft type] (position) (level) FOR LANDING.,Entering the circuit,"Aerodrome and Vicinity, Aircraft",SEABC Piper Cherokee Eneby two thousand feet for landing.,The Pilot
[aircraft type] [wake turbulence category if “heavy”] [aircraft location] [flight rules] [TO (aerodrome of destination)] REQUEST TAXI [intentions].,For departure,"Aerodrome and Vicinity, Aircraft","LGL123 Boeing seven three seven stand one six, to ELLX request taxi.",The Pilot
[aircraft type] [wake turbulence category if “heavy”] REQUEST DETAILED TAXI INSTRUCTIONS.,Where detailed taxi instructions are required,"Aerodrome and Vicinity, Aircraft",CLX315 Boeing seven four seven heavy request detailed taxi instructions.,The Pilot
[ALL STATIONS] CPDLC FAILURE (instructions).,To indicate failure of CPDLC,CPDLC,All stations CPDLC FAILURE revert to voice.,The Controller
[ALL STATIONS] RESUME NORMAL CPDLC OPERATIONS.,To resume normal use of CPDLC.,CPDLC,All stations resume normal CPDLC operations.,The Controller
[ALL STATIONS] STOP SENDING CPDLC REQUESTS [UNTIL ADVISED] [(reason)].,To instruct all stations or a specific flight to avoid sending CPDLC requests for a limited period of time.,CPDLC,"All stations stop sending CPDLC requests, due to CPDLC service failure.",The Controller
[ARE YOU] READY TO START UP?,Pilot answers: STARTING NUMBER (engine number(s)).Note 1.— The ground crew should follow this exchange by either a reply on the intercom or a distinct visual signal to indicate that all is clear and that the start-up as indicated may proceed.Note 2.— Unambiguous identification of the parties concerned is essential in any communications between ground crew and pilots.,Ground Crew,LGL123 are you ready to start up?,The Controller
[CAUTION] TAXI SLOWER [reason].,Pilot trnasmission: SLOWING DOWN.,Aerodrome and Vicinity,LGL123 caution taxi slower taxiway slippery.,The Controller
[EXPECT] START UP AT (time or OWN DISCRETION).,ATC reply when permission to start engines is requested by the pilot.,Aerodrome and Vicinity,LGL123 expect start up at time five zero.,The Controller
[IF] RADIO CONTACT LOST (instructions).,When it is expected to lose communication with an aircraft (due to coverage for example).,General ATS Surveillance Service Phraseologies,"LGL123 if radio contact lost continue heading and contact Horn control, one two three decimal seven five zero.",The Controller
"[INBOUND RELEASE] (aircraft call sign) [SQUAWKING (SSR code)] (type) FROM (departure point) RELEASED AT (significant point, or time, or level) CLEARED TO AND ESTIMATING (clearance limit) (time) AT (level) [EXPECTED APPROACH TIME or NO DELAY EXPECTED] CONTACT AT (time).",Inbound release,Coordination between ATS Units,Inbound release LGL123 squawking 0325 Boeing seven three seven from Luxembourg released at BURKA cleared to and estimating GONLI at time one four zero niner FL210 contact at time one. four zero one.,The Controller
[SQUAWKING (SSR code)] [ESTIMATED] (significant point) (time) AT (level).,Sending unit short estimate if receiving unit has details of the flight.Note: In the event that flight plan details are not available the receiving unit shall reply NO DETAILS and sending unit shall pass full estimate.,Coordination between ATS Units,Squawking 0325 estimated BURKI at time four zero FL290.,The Controller
[STILL] (number) METRES (or FEET) TOO HIGH (or TOO LOW).,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 still two hundred feet too high.,The Controller
[SURFACE] WIND (number) DEGREES (speed) (units).,"Note.— Wind is always expressed by giving the mean direction and speed and any significant variations thereof.All numbers, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,"Surface wind one two zero degrees, five knots.",The Controller
0,Transmission of numbers.,General,ZE-RO,The Controller
1,Transmission of numbers.,General,WUN,The Controller
2,Transmission of numbers.,General,TOO,The Controller
3,Transmission of numbers.,General,TREE,The Controller
4,Transmission of numbers.,General,FOW-er,The Controller
5,Transmission of numbers.,General,FIFE,The Controller
6,Transmission of numbers.,General,SIX,The Controller
7,Transmission of numbers.,General,SEV-en,The Controller
8,Transmission of numbers.,General,AIT,The Controller
9,Transmission of numbers.,General,NIN-er,The Controller
ACKNOWLEDGE,Means: “Let me know that you have received and understood this message.”,General,LGL123 acknowledge by moving ailerons.,The Controller
ACKNOWLEDGE BY FLASHING LANDING LIGHTS.,Acknowledgement by visual means,Aerodrome and Vicinity,LGL123 acknowledge by flashing landing lights.,The Controller
ACKNOWLEDGE BY MOVING AILERONS (or RUDDER).,Acknowledgement by visual means,Aerodrome and Vicinity,LGL123 acknowledge by moving ailerons.,The Controller
ACKNOWLEDGE BY ROCKING WINGS.,Acknowledgement by visual means,Aerodrome and Vicinity,LGL123 acknowledge by rocking wings.,The Controller
ADJUST RATE OF DESCENT.,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 adjust rate of descent.,The Controller
ADS-B OUT OF SERVICE (appropriate information as necessary).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 ADS-B out of service.,The Controller
ADS-C (or ADS-CONTRACT) OUT OF SERVICE (appropriate information as necessary).,ADS-C Degradation,General ATS Surveillance Service Phraseologies,LGL123 ADS-C out of service.,The Controller
ADVISE ABLE TO ACCEPT VISUAL APPROACH RUNWAY (number).,To request if a pilot is able to accept a visual approach.,Approach Control Services,"LGL123, advise able to accept visual approach runway zero niner.",The Controller
ADVISE ADS-B CAPABILITY.,Secondary surveillance radar (SSR) and ADS-B phraseologiesPilot answers:ADS-B TRANSMITTER (data link). orADS-B RECEIVER (data link). orNEGATIVE ADS-B.To request the capability of the ADS-B equipment,SSR and ADS-B Phraseologies,LGL123 advise ADS-B capability.,The Controller
ADVISE IF ABLE TO CROSS (significant point) AT (time or level),Separation instructions.,Area Control Services,LGL123 advise if able to cross ANDIE at FL310.,The Controller
ADVISE IF ABLE TO PROCEED PARALLEL OFFSET,"Instructions associated with flying a track (offset), parallel to the cleared route.",Area Control Services,LGL123 advise if able to proceed parallel offset.,The Controller
ADVISE TRANSPONDER CAPABILITY.,Secondary surveillance radar (SSR) and ADS-B phraseologiesPilot answers: TRANSPONDER (as shown in the flight plan) or NEGATIVE TRANSPONDER.,SSR and ADS-B Phraseologies,LGL123 advise transponder capability.,The Controller
AFFIRM,Means :yes,General,"Affirm, LGL123.",The Controller
"AFTER DEPARTURE TURN RIGHT (or LEFT, or CLIMB) (instructions as appropriate).",Departure instructions,Aerodrome and Vicinity,LGL123 after departure climb towards ESTER to five thousand feet before turning right for SKIRO.,The Controller
AFTER PASSING (level) (instructions),Turn or climb instructions after take off.,Aerodrome and Vicinity,LGL123 after passing five thousand feet turn right direct SKI.,The Controller
AFTER PASSING (significant point).,No data,General,"LGL123, after passing BURMA, climb to FL120.",The Controller
AFTER REACHING (or PASSING) (level or significant point) (instructions).,To issue instructions to follow after reaching or passing a level after departure.,"Approach Control Services, Aerodrome and Vicinity",LGL123 after reaching altitude five thousand feet turn right to SKI.,The Controller
AGREED TO (alteration of clearance) OF (aircraft call sign).,Change of clearance. Said by approving unit.,Coordination between ATS Units,Agreed to proceeding via FINDO for LGL123.,The Controller
"AIR-TAXI TO (or VIA) (location or routing as appropriate) [CAUTION (dust, blowing snow, loose debris, taxiing light aircraft, personnel, etc.)].",Instructions after landing. For helicopter operations.,Aerodrome and Vicinity,Helicopter one air-taxi to runway zero one to apron North caution taxiing light aircraft on runway.,The Controller
"AIR-TAXI TO (or VIA) (location or routing as appropriate) [CAUTION (dust, blowing snow, loose debris, taxiing light aircraft, personnel, etc.)].",For helicopter operations.,Aerodrome and Vicinity,Helicopter one air-taxi to apron North,The Controller
AIR-TAXI TO HELICOPTER STAND (or) HELICOPTER PARKING POSITION (area).,Instructions after landing. For helicopter operations.,Aerodrome and Vicinity,Helicopter one air-taxi to helicopter parking position apron North.,The Controller
"AIR-TAXI VIA (direct, as requested, or specified route) TO (location, heliport, operating or movement area, active or inactive runway). AVOID (aircraft or vehicles or personnel).",Instructions after landing. For helicopter operations.,Aerodrome and Vicinity,Helicopter one air taxi via runway zero one to apron North avoid vehicles at apron North.,The Controller
"AIR-TAXI VIA (direct, as requested, or specified route) TO (location, heliport, operating or movement area, active or inactive runway). AVOID (aircraft or vehicles or personnel).",For helicopter operations.,Aerodrome and Vicinity,Helicopter one air-taxi via runway zero one to apron North caution taxiing light aircraft.,The Controller
APPROACH COMPLETED [CONTACT (unit)].,Radar in approach control service. Related to completion of approach in PAR approach service.,Approach Control Services,LGL123 approach completed contact Birna tower on one two zero decimal zero.,The Controller
APPROACH COMPLETED [CONTACT (unit)].,Surveillance radar approach. Radar in approach control service. To inform of completion of approach.,Approach Control Services,LGL123 approach completed contact Birna tower on one two zero decimal zero.,The Controller
APPROACH INSTRUCTIONS WILL BE TERMINATED AT (distance) FROM TOUCHDOWN.,Surveillance radar approach. Radar in approach control service. Explains provision of surveillance radar approach service.,Approach Control Services,LGL123 approach instructions will be terminated at eight NM from touchdown.,The Controller
APPROACHING GLIDE PATH.,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 approaching glide path.,The Controller
APPROVAL REQUEST (aircraft call sign) ESTIMATED DEPARTURE FROM (significant point) AT (time).,Approval request.Said by requesting unit.,Coordination between ATS Units,Approval request LGL123 estimated departure from DELVI at time three one.,The Controller
APPROVED,Means: “Permission for proposed action granted.”,General,LGL123 start up approved.,The Controller
ARE YOU FAMILIAR WITH (name) APPROACH PROCEDURE.,No data,Approach Control Services,LGL123 are you familiar with SKIRO three Bravo arrival approach procedure.,The Controller
ARE YOU GOING AROUND?,Pilot answers: GOING AROUNDRadar in approach control service.Related to go around procedures in PAR approach service.,Approach Control Services,LGL123 are you going around?,The Controller
ARE YOU READY [FOR [IMMEDIATE] DEPARTURE]?,Pilot answers: READY,Aerodrome and Vicinity,LGL123 are you ready for departure?,The Controller
ARE YOU READY FOR PUSHBACK?,Pilot answers: READY FOR PUSHBACK,Ground Crew,LGL123 are you ready for pushback?,The Controller
AT (number) METRES PER SECOND (or FEET PER MINUTE) [OR GREATER (or OR LESS)].,No data,General,LGL123 climb at two thousand feet per minute or less.,The Controller
AT (or OVER) (time or place) [or WHEN] [PASSING/LEAVING/REACHING (level)] CONTACT (unit call sign) (frequency).,Transfer of control and/or frequency change.,General,LGL123 when passing FL250 contact Tampere control one two four decimal one five.,The Controller
"ATTENTION ALL AIRCRAFT IN THE VICINITY OF [or AT] (significant point or location) EMERGENCY DESCENT IN PROGRESS FROM (level) (followed as necessary by specific instructions, clearances, traffic information, etc.).",No data,Emergency or unusual situation,Attention all aircraft in the vicinity of SKI emergency descent in progress from FL330 to below FL90. It’s a Boeing seven three seven just passed SKI northbound.,The Controller
BACKTRACK APPROVED.,To approve backtrack.,Aerodrome and Vicinity,LGL123 backtrack approved.,The Controller
BACKTRACK RUNWAY (number).,To issue backtrack instruction.,Aerodrome and Vicinity,LGL123 backtrack runway zero niner.,The Controller
"BASIC GNSS (or SBAS, or GBAS) UNAVAILABLE FOR (specify operation) [FROM (time) TO (time) (or UNTIL FURTHER NOTICE)].",No data,General,LGL123 basic GNSS  unavailable for distance measurement until further notice.,The Controller
"BASIC GNSS UNAVAILABLE [DUE TO (reason, e.g. LOSS OF RAIM or RAIM ALERT)].",No data,"Aircraft, General",LGL123 Basic GNSS  unavailable due to LOSS of RAIM.,The Pilot
"BRAKING ACTION [(location)] (measuring equipment used), RUNWAY (number), TEMPERATURE [MINUS] (number), WAS (reading) AT (time).",To pass information on aerodrome conditions.,Aerodrome and Vicinity,"Braking action Horn, friction tester, runway zero niner, temperature minus one, was zero point two five at time one zero one five.",The Controller
"BRAKING ACTION REPORTED BY (aircraft type) AT (time) GOOD (or MEDIUM, or POOR).",To pass information on aerodrome conditions.,Aerodrome and Vicinity,Braking action reported by Airbus three twenty at time one zero two five medium.,The Controller
BREAK,Means: “I hereby indicate the separation between portions of the message.”(To be used where there is no cleardistinction between the text and other portions of the message.),General,BREAK,The Controller
BREAK BREAK,Means: “I hereby indicate the separation between messages transmitted to different aircraft in a very busy environment.”,General,LGL123 maintain FL310 break break AFR367 climb to FL350.,The Controller
CANCEL,Means:  “Annul the previously transmitted clearance.”,General,"LGL123 hold position, cancel take-off, I say again, cancel take-off, vehicles blocking the runway.",The Controller
CANCEL OFFSET (instructions to rejoin cleared flight route or other information).,"Instructions associated with flying a track (offset), parallel to the cleared route.",Area Control Services,LGL123 cancel offset return back to upper Mike seven three zero via STEVE.,The Controller
"CAUTION (specify reasons) RIGHT (or LEFT), (or BOTH SIDES) OF RUNWAY [number].",To pass information on aerodrome conditions.,Aerodrome and Vicinity,Caution grass cutting right of runway zero niner.,The Controller
CAUTION CONSTRUCTION WORK (location).,To pass information on aerodrome conditions.,Aerodrome and Vicinity,Caution construction work taxiway Yankee,The Controller
CAUTION JET BLAST,Jet blast on apron or taxiway,Aerodrome and Vicinity,SBC caution jet blast.,The Controller
CAUTION SLIPSTREAM,Propeller-driven aircraft slipstream,Aerodrome and Vicinity,SBC caution slipstream.,The Controller
CAUTION WAKE TURBULENCE [FROM ARRIVING (or DEPARTING) (type of aircraft)] [additional information as required].,Wake turbulence,Aerodrome and Vicinity,SBC caution wake turbulence from arriving Boeing seven four seven.,The Controller
CAUTION WORK IN PROGRESS (or OBSTRUCTION) (position and any necessary advice).,To pass information on aerodrome conditions.,Aerodrome and Vicinity,Caution work in progress at entry to apron.,The Controller
CAVOK.,"CAVOK Means no restriction on vertical visibility, no clouds below 5000ft or below MSA whichever is higher and no CB.Note.- CAVOK pronounced CAV-O-KAY.",General,CAVOK.,The Controller
CHANGE YOUR CALL SIGN TO (new call sign) [UNTIL FURTHER ADVISED].,To instruct an aircraft to change its type of call sign,General,LGL123 change your call sign to LGL123Alpha until further advised.,The Controller
Channels in VHF 1/2,"Where all VHF voice communications channels are separated by 25 kHz or more and the use of six digits is not substantiated by the operational requirement determined by the appropriate authorities, the first five digits of the numerical designator should be used, except in the case of both the fifth and sixth digits being zeros, in which case only the first four digits should be used. In all other cases all six digits of the numerical designator should be used to identify the transmitting channel in VHF radiotelephony communications, except in the case of both the fifth and sixth digits being zeros, in which case only the first four digits should be used.",General,118.005 - ONE ONE EIGHT DECIMAL ZERO ZERO FIVE,The Controller
Channels in VHF 2/2,"Where all VHF voice communications channels are separated by 25 kHz or more and the use of six digits as in  is not substantiated by the operational requirement determined by the appropriate authorities, the first five digits of the numerical designator should be used, except in the case of both the fifth and sixth digits being zeros, in which case only the first four digits should be used In all other cases all six digits of the numerical designator should be used to identify the transmitting channel in VHF radiotelephony communications, except in the case of both the fifth and sixth digits being zeros, in which case only the first four digits should be used.",General,118.000 ONE ONE EIGHT DECIMAL ZERO,The Controller
CHECK,Means: “Examine a system or procedure.”(Not to be used in any other context. No answer is normally expected.),General,New York radio Swissair one one zero request SELCAL check.,The Controller
CHECK ALTIMETER SETTING AND CONFIRM (level).,To request pressure setting check and confirmation of level,"SSR and ADS-B Phraseologies, Emergency or unusual situation",LGL123 check altimeter setting and confirm level one six zero.,The Controller
CHECK DECISION ALTITUDE (or HEIGHT).,Radar in approach control serviceRelated to checks in PAR approach service,Approach Control Services,LGL123 check decision altitude.,The Controller
CHECK GEAR DOWN [AND LOCKED].,Radar in approach control serviceSurveillance radar approachChecks,Approach Control Services,LGL123 check gear down and locked.,The Controller
CHECK GEAR DOWN AND LOCKED.,Radar in approach control serviceRelated to checks in PAR approach service,Approach Control Services,LGL123 check gear down and locked.,The Controller
CIRCLE THE AERODROME,Delaying aircraft,Aerodrome and Vicinity,SBC circle the aerodrome.,The Controller
CLEAR OF CONFLICT (assigned clearance) RESUMED,After a flight crew starts to deviate from any ATC clearance or instruction to comply with an ACAS resolution advisory (RA). Controller answers ROGER (or alternative instructions).,"Emergency or unusual situation, Aircraft, General","LGL123 clear of conflict, FL330 resumed.",The Pilot
"CLEAR OF CONFLICT, RETURNING TO (assigned clearance).",After a flight crew starts to deviate from any ATC clearance or instruction to comply with an ACAS resolution advisory (RA). Controller answers ROGER (or alternative instructions).,"Emergency or unusual situation, Aircraft, General","LGL123 clear of conflict, returning to FL330.",The Pilot
CLEAR OF TRAFFIC [appropriate instructions].,When passing unknown traffic,General ATS Surveillance Service Phraseologies,LGL123 clear of traffic resume own navigation.,The Controller
CLEARED,Means: “Authorised to proceed under the conditions specified.”,General,"LGL123 cleared to Oslo via Staby upper Tango three eight zero, flight planned route, FL320.",The Controller
CLEARED (designation) DEPARTURE.,"Note: The route of flight shall be detailed in each clearance when deemed necessary. The phrase “cleared via flight planned route” may be used to describe any route or portion thereof, provided the route or portion thereof is identical to that filed in the flight plan and sufficient routing details are given to definitely establish the aircraft on its route. The phrases “cleared via (designation) departure” or “cleared via (designation) arrival” may be used when standard departure or arrival routes have been established by the appropriate ATS authority and published in Aeronautical Information Publications (AIPs).The phrase “cleared via flight planned route” shall not be used when granting a re-clearance.","Approach Control Services, Aerodrome and Vicinity",LGL123 cleared via upper Mike seven one zero.,The Controller
CLEARED (MLS/RNAV plain-language designator).,No data,Approach Control Services,LGL123 cleared MLS approach runway zero niner.,The Controller
CLEARED (or PROCEED)  (details of route to be followed),No data,Approach Control Services,"LGL123, PROCEED DIK",The Controller
"CLEARED (or PROCEED) TO (significant point, name of facility or fix) [MAINTAIN (or CLIMB or DESCEND TO) (level)] HOLD [(direction)] [(specified) RADIAL, COURSE, INBOUND TRACK (three digits) DEGREES] [RIGHT (or LEFT) HAND PATTERN] [OUTBOUND TIME (number) MINUTES] EXPECT APPROACH CLEARANCE (or FURTHER CLEARANCE) AT (time) (additional instructions, if necessary).",When a detailed holding clearance is required,"Approach Control Services, Area Control Services","LGL123 proceed to SKI, maintain FL100, hold two zero zero radial, course inbound track zero two zero degrees left hand pattern, outbound time three minutes expect further clearance at time five one.",The Controller
"CLEARED (or PROCEED) TO (significant point, name of facility or fix) [MAINTAIN (or CLIMB or DESCEND TO) (level)] HOLD [(direction)] AS PUBLISHED EXPECT APPROACH CLEARANCE (or FURTHER CLEARANCE) AT (time).",Published holding procedure over a facility or fix.,"Approach Control Services, Area Control Services","LGL123 proceed to SKI, maintain FL100, hold north as published, expect further clearance at time five zero.",The Controller
CLEARED (type of approach) APPROACH [RUNWAY (number)].,To issue approach clearance.,Approach Control Services,LGL123 cleared VOR DME approach runway zero niner.,The Controller
CLEARED (type of approach) RUNWAY (number) FOLLOWED BY CIRCLING TO RUNWAY (number).,To issue approach clearance.,Approach Control Services,LGL123 cleared VOR DME approach runway zero niner followed by circling to runway two seven.,The Controller
CLEARED APPROACH [RUNWAY (number)].,To issue approach clearance.,Approach Control Services,LGL123 cleared approach runway zero niner.,The Controller
CLEARED FOR (type of approach) APPROACH RUNWAY (number) LEFT (or RIGHT).,Manoeuvre during independent and dependent parallel approaches.,Approach Control Services,LGL123 cleared for ILS approach runway zero niner left.,The Controller
CLEARED FOR (type of approach) APPROACH RUNWAY (number).,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.,Approach Control Services,LGL123 cleared for ILS approach runway zero niner.,The Controller
"CLEARED FOR TAKE-OFF [FROM (location)] (present position, taxiway, final approach and take-off area, runway and number).",For helicopter operations,Aerodrome and Vicinity,Helicopter one cleared for take-off from intersection Bravo.,The Controller
"CLEARED FROM (location) TO (location)., followed as necessary by: 1) DIRECT. 2) VIA (route and/or significant points). 3) VIA FLIGHT PLANNED ROUTE. 4) VIA (distance) DME ARC (direction) OF (name of DME station).","Note: The route of flight shall be detailed in each clearance when deemed necessary. The phrase “cleared via flight planned route” may be used to describe any route or portion thereof, provided the route or portion thereof is identical to that filed in the flight plan and sufficient routing details are given to definitely establish the aircraft on its route. The phrases “cleared via (designation) departure” or “cleared via (designation) arrival” may be used when standard departure or arrival routes have been established by the appropriate ATS authority and published in Aeronautical Information Publications (AIPs). The phrase “cleared via flight planned route” shall not be used when granting a re-clearance.",Area Control Services,"LGL123 cleared to Copenhagen, direct BASUM.",The Controller
CLEARED LOW APPROACH [RUNWAY (number)] [(altitude restriction if required) (go around instructions)].,"Done to make an approach along, or parallel to a runway, descending to an agreed minimum level.",Aerodrome and Vicinity,SBC cleared low approach runway zero niner. After overshot turn left to OW two thousand one hundred feet.,The Controller
